species,common_name,family,gear_class,gear_type,fishery_type,target_fishery_species,target_fishery_common,flagstate,ocean,ocean_region,location,habitat,fate_type,fate_proportion,units,sample_size,methods,start_year,end_year,time_scale,reference,notes,reviewer
Galeus melastomus,blackmouth catshark,Pentanchidae,longline,,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,0.533,count,737,researcher,1997,1998,annual,Coelho et al 2005,no mention of rfmo,LF
Galeus melastomus,blackmouth catshark,Pentanchidae,longline,,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,0.467,count,646,researcher,1997,1998,annual,Coelho et al 2005,no mention of rfmo,LF
Etmopterus pusillus,smooth lanternshark,Etmopteridae,longline,,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,1,count,474,researcher,1997,1998,annual,Coelho et al 2005,no mention of rfmo,LF
Scyliorhinus canicula,small spotted catshark,Scyliorhinidae,longline,,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,0.897,count,278,researcher,1997,1998,annual,Coelho et al 2005,no mention of rfmo,LF
Scyliorhinus canicula,small spotted catshark,Scyliorhinidae,longline,,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,0.103,count,32,researcher,1997,1998,annual,Coelho et al 2005,no mention of rfmo,LF
Prionace glauca,blue shark,Carcharhinidae,longline,,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,1,count,6,researcher,1997,1998,annual,Coelho et al 2005,no mention of rfmo,LF
Raja spp,skate,Rajidae,longline,,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,1,count,4,researcher,1997,1998,annual,Coelho et al 2005,no mention of rfmo,LF
Mustelus mustelus,smoothhound shark,Triakidae,longline,,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,1,count,2,researcher,1997,1998,annual,Coelho et al 2005,no mention of rfmo,LF
Raja clavata,thornback ray,Rajidae,longline,,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,1,count,2,researcher,1997,1998,annual,Coelho et al 2005,no mention of rfmo,LF
Raja undulata,undulate ray,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,discard_unknown,0.023,count,6,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
Raja undulata,undulate ray,Rajidae,gillnet,trammel net,,,,,Atlantic,NE,Portugal,deep-sea,retained_unknown,0.977,count,254,researcher,2000,2000,sporadic,Coelho et al 2005,no mention of rfmo,LF
