common_name_clean,released,dead,kept
Tope Shark,0.0,0.0,100.0
Starry Smooth-Hound,0.0,0.0,100.0
Small Spotted Catshark,0.0,0.0,100.0
Nursehound,0.0,0.0,100.0
Blackmouth Catshark,0.0,0.0,100.0
Longnosed Skate,0.0,0.0,100.0
Spiny Dogfish,0.0,0.0,100.0
School Shark,0.0,0.0,100.0
Cuckoo Skate,0.0,0.0,100.0
Common Torpedo,0.0,0.0,100.0
Common Smooth-Hound,0.0,0.0,100.0
Bluntnose Sixgill Shark ,0.0,0.0,100.0
Blacktip Shark,0.1,1.4,98.5
Bull Shark,1.2,0.9,97.8
Sandbar Shark,11.5,4.9,83.5
Blacknose Shark,3.4,17.8,78.7
Shortfin Mako,20.0,5.2,74.8
Silky Shark,23.2,42.6,34.2
Great Hammerhead Shark,0.0,70.2,29.8
Blue Shark,45.8,27.6,26.5
Night Shark,17.3,56.5,26.2
Dusky Shark,36.2,38.0,25.8
Scalloped Hammerhead,27.8,46.6,25.6
Oceanic Whitetip Shark,60.1,15.7,24.1
Porbeagle Shark,36.7,43.1,20.2
Tiger Shark,72.4,7.6,20.0
Bigeye Thresher Shark,40.9,45.3,13.7
Other,43.4,56.6,0.0
Crocodile Shark,90.0,10.0,0.0
